Subjectivity Score,NLTK Polarity Score,TextBlob Polarity Score
0.30303030303030304,0.5719,0.090909
0.0,0.2732,0.0
0.0,0.5719,0.0
0.0,0.0,0.0
0.625,0.6249,0.0
0.3857142857142857,-0.7146,0.169643
0.0,0.5106,0.0
0.0,0.4939,0.0
0.0,0.1779,0.0
0.16666666666666666,0.9062,0.166667
0.0,0.5106,0.0
0.0,0.5106,0.0
0.4,0.0,-0.25
0.0,0.4019,0.0
0.75,0.4215,0.0
0.2859090909090909,0.6908,0.087273
0.0,0.0,0.0
0.375,0.0,-0.125
0.26666666666666666,0.8689,0.05
0.3,0.296,0.1
0.0,0.0,0.0
0.30303030303030304,0.8934,0.090909
0.1,0.8519,0.0
0.5,0.3818,0.5
0.0,0.5267,0.0
0.41363636363636364,0.4215,0.059091
0.0,0.4215,0.0
0.5515151515151515,0.7717,0.245455
0.40151515151515155,0.8885,0.412121
0.30303030303030304,0.5719,0.090909
0.0,0.2732,0.0
0.0,0.5719,0.0
0.0,0.0,0.0
0.625,0.6249,0.0
0.3857142857142857,-0.7146,0.169643
0.0,0.5106,0.0
0.0,0.4939,0.0
0.0,0.1779,0.0
0.16666666666666666,0.9062,0.166667
0.0,0.5106,0.0
0.0,0.5106,0.0
0.4,0.0,-0.25
0.0,0.4019,0.0
0.75,0.4215,0.0
0.2859090909090909,0.6908,0.087273
0.0,0.0,0.0
0.375,0.0,-0.125
0.26666666666666666,0.8689,0.05
0.3,0.296,0.1
0.0,0.0,0.0
0.0,0.0,0.0
